,state,division,code,value
0,Alaska,Pacific,10,8419.88
1,Alabama,East South Central,6,14629.44
2,Arkansas,West South Central,7,14807.53
3,Arizona,Mountain South,9,10625.89
4,California,Pacific,10,8419.88
5,Colorado,Mountain South,9,10625.89
6,Connecticut,New England,1,7633.33
7,Delaware,South Atlantic,5,14059.22
8,Florida,South Atlantic,5,14059.22
9,Georgia,South Atlantic,5,14059.22
10,Hawaii,Pacific,10,8419.88
11,Iowa,West North Central,4,10588.83
12,Idaho,Mountain North,8,9237.78
13,Illinois,East North Central,3,9331.56
14,Indiana,East North Central,3,9331.56
15,Kansas,West North Central,4,10588.83
16,Kentucky,East South Central,6,14629.44
17,Louisiana,West South Central,7,14807.53
18,Massachusetts,New England,1,7633.33
19,Maryland,South Atlantic,5,14059.22
20,Maine,New England,1,7633.33
21,Michigan,East North Central,3,9331.56
22,Minnesota,West North Central,4,10588.83
23,Missouri,West North Central,4,10588.83
24,Mississippi,East South Central,6,14629.44
25,Montana,Mountain North,8,9237.78
26,North Carolina,South Atlantic,5,14059.22
27,North Dakota,West North Central,4,10588.83
28,Nebraska,West North Central,4,10588.83
29,New Hampshire,New England,1,7633.33
30,New Jersey,Middle Atlantic,2,9354.09
31,New Mexico,Mountain South,9,10625.89
32,Nevada,Mountain South,9,10625.89
33,New York,Middle Atlantic,2,9354.09
34,Ohio,East North Central,3,9331.56
35,Oklahoma,West South Central,7,14807.53
36,Oregon,Pacific,10,8419.88
37,Pennsylvania,Middle Atlantic,2,9354.09
38,Rhode Island,New England,1,7633.33
39,South Carolina,South Atlantic,5,14059.22
40,South Dakota,West North Central,4,10588.83
41,Tennessee,East South Central,6,14629.44
42,Texas,West South Central,7,14807.53
43,Utah,Mountain South,9,10625.89
44,Virginia,South Atlantic,5,14059.22
45,Vermont,New England,1,7633.33
46,Washington,Pacific,10,8419.88
47,Wisconsin,East North Central,3,9331.56
48,West Virginia,South Atlantic,5,14059.22
49,Wyoming,Mountain North,8,9237.78
